time,flux,normalised_flux,yCO2_bl,pressure,tau
152063.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.6935981919959413
152073.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.6938109919959412
152083.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.207,0.6940237919959413
152093.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,148.985,0.6942365919959412
152103.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6944493919959412
152113.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.429,0.6946621919959413
152123.89999980928,0.00013129785011111825,0.9944075920145925,0.0010540805,149.429,0.6948749919959413
152133.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6950877919959413
152143.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,148.985,0.6953005919959413
152153.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.207,0.6955133919959412
152163.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.207,0.6957261919959413
152173.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.207,0.6959389919959412
152183.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6961517919959412
152193.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.207,0.6963645919959413
152203.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.651,0.6965773919959413
152213.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6967901919959413
152223.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.6970029919959413
152233.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,148.985,0.6972157919959413
152243.89999980928,0.0001316284363369282,0.9969113455222293,0.0010567344999999999,149.429,0.6974285919959413
152253.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.207,0.6976413919959412
152263.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6978541919959412
152273.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.207,0.6980669919959412
152283.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6982797919959413
152293.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.207,0.6984925919959413
152303.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.6987053919959413
152313.89999980928,0.00013159169069389357,0.996633045867085,0.0010564395,149.207,0.6989181919959413
152323.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.207,0.6991309919959413
152333.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6993437919959413
152343.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6995565919959412
152353.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.429,0.6997693919959413
152363.89999980928,0.0001317019276229975,0.9974679448325179,0.0010573244999999998,149.207,0.6999821919959412
152373.89999980928,0.00013166518197996286,0.9971896451773736,0.0010570294999999999,149.207,0.7001949919959413
152383.89999980928,0.00013159169069389357,0.996633045867085,0.0010564395,149.651,0.7004077919959413
152393.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.207,0.7006205919959413
152403.9009997368,0.00013159169069389357,0.996633045867085,0.0010564395,149.207,0.700833413274399
152413.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.429,0.7010461919959413
152423.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.7012589919959412
152433.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.7014717919959413
152443.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.7016845919959412
152453.89999980928,0.00013126110446808357,0.994129292359448,0.0010537855,149.207,0.7018973919959413
152463.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.207,0.7021101919959413
152473.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.7023229919959413
152483.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.207,0.7025357919959413
152493.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.7027485919959413
152503.89999980928,0.0001316284363369282,0.9969113455222293,0.0010567344999999999,148.985,0.7029613919959412
152513.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.429,0.7031741919959413
152523.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.429,0.7033869919959412
152533.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.7035997919959412
152543.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.7038125919959413
152553.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.429,0.7040253919959413
152563.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.7042381919959412
152573.89999980928,0.00013159169069389357,0.996633045867085,0.0010564395,149.207,0.7044509919959413
152583.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.207,0.7046637919959412
152593.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.429,0.7048765919959413
152603.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.7050893919959412
152613.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,148.985,0.7053021919959412
152623.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.207,0.7055149919959413
152633.89999980928,0.0001316284363369282,0.9969113455222293,0.0010567344999999999,149.207,0.7057277919959413
152643.89999980928,0.00013159169069389357,0.996633045867085,0.0010564395,148.985,0.7059405919959413
152653.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.429,0.7061533919959413
152663.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.7063661919959413
152673.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.429,0.7065789919959413
152683.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.207,0.7067917919959413
152693.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,148.985,0.7070045919959412
152703.89999980928,0.00013129785011111825,0.9944075920145925,0.0010540805,148.763,0.7072173919959412
152713.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.207,0.7074301919959413
152723.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.207,0.7076429919959413
152733.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,148.985,0.7078557919959413
152743.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.7080685919959413
152753.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.7082813919959413
152763.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.429,0.7084941919959413
152773.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.7087069919959412
152783.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.7089197919959414
152793.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.7091325919959413
152803.89999980928,0.00013129785011111825,0.9944075920145925,0.0010540805,149.207,0.7093453919959413
152813.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.7095581919959413
152823.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,148.985,0.7097709919959413
152833.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.207,0.7099837919959412
152843.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.207,0.7101965919959413
152853.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.7104093919959412
152863.89999980928,0.00013159169069389357,0.996633045867085,0.0010564395,149.429,0.7106221919959413
152873.9009997368,0.00013151832396932612,0.9960773899454582,0.0010558505,149.207,0.7108350132743989
152883.89999980928,0.00013126110446808357,0.994129292359448,0.0010537855,149.207,0.7110477919959413
152893.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.7112605919959413
152903.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.207,0.7114733919959413
152913.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.7116861919959412
